Timecode List:,00:00:00.567,00:00:07.574,00:00:45.946,00:02:18.839,00:06:21.248,00:08:13.626,00:10:18.585,00:12:55.908,00:16:06.165,00:17:18.671,00:20:12.144,00:20:39.405
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,17,00:00:00.567,0.567,17,00:00:00.567,0.567
2,18,00:00:00.567,0.567,227,00:00:07.574,7.574,210,00:00:07.007,7.007
3,228,00:00:07.574,7.574,1377,00:00:45.946,45.946,1150,00:00:38.372,38.372
4,1378,00:00:45.946,45.946,4161,00:02:18.839,138.839,2784,00:01:32.893,92.893
5,4162,00:02:18.839,138.839,11426,00:06:21.248,381.248,7265,00:04:02.409,242.409
6,11427,00:06:21.248,381.248,14794,00:08:13.626,493.626,3368,00:01:52.379,112.379
7,14795,00:08:13.626,493.626,18539,00:10:18.585,618.585,3745,00:02:04.958,124.958
8,18540,00:10:18.585,618.585,23254,00:12:55.908,775.908,4715,00:02:37.324,157.324
9,23255,00:12:55.908,775.908,28956,00:16:06.165,966.165,5702,00:03:10.257,190.257
10,28957,00:16:06.165,966.165,31129,00:17:18.671,1038.671,2173,00:01:12.506,72.506
11,31130,00:17:18.671,1038.671,36328,00:20:12.144,1212.144,5199,00:02:53.473,173.473
12,36329,00:20:12.144,1212.144,37145,00:20:39.405,1239.405,817,00:00:27.261,27.261
13,37146,00:20:39.405,1239.405,37347,00:20:46.145,1246.145,202,00:00:06.740,6.740
